,MARCA_lvhtn
DUNCAN,1
504,1
CUMAR,1
-102-NISSAN,1
AIELLO                        ,1
GMC                           ,1
130-TOYOTA,1
GENERAL MOTORS ARGEN,1
GMC CHEVETTE (GRAL.MOT.CORP.),1
T.V.,1
SOL DE ACOPLADOS RURALES. ARG.,1
APACHE RAMADA,1
A.F.F                         ,1
UNIMOG,1
24.01.01,1
TRONADOR,1
FALCON FUTURA,1
GMC CHEVETTTE,1
2CV,1
PASSPORT EX,1
SAIC,1
INTERTRAFIC,1
GRACIELA,1
PEREZ MADDYN,1
GORDINIIKA,1
VALIANT IV GRAN TURISMO,1
FORD ALEMAN,1
NOMA                          ,1
DEUTZ-DECAROLI,1
CHRYSLER -DODGE,1
OM-SUPER ORIONE,1
BIANCONI,1
V-W,1
136- VOLKSWAGEN,1
132,1
CONVER,1
PAZDERA,1
KAISER BERGANTI,1
FIAT 1500 C,1
JEEP  T-80,1
HOBBS,1
DAUHATSU,1
MERCEDES BENZ 250 SE,1
ISSARD,1
100745,1
OPEL RECORD,1
.SUBARU,1
WEEKEND,1
MILL,1
RECONSTRUIDO,1
TRIUMPH,1
ANSALDO,1
SURAN 1.6L 5D 11A,1
OPEL CAPITAN,1
128BERLINA,1
MAXION                        ,1
CARIAC,1
CALANDRIA,1
WILLYS OVERIAN,1
ALDO BIANCO,1
DAIHAITSU,1
FORD FAIRLANE,1
JAGUAR MKII,1
STUDE BAKER,1
CHEVROLETCHEVROLET,1
JEEP ESTENCIERA,1
I.K.A. TORINO 380,1
IKA                          1,1
HERMANN                       ,1
NIEWIADOW,1
BORDWARD,1
DODGE M 615,1
VAN-TEL,1
WITTE,1
RASTRJERO DIESE,1
BERLINA,1
RPVER,1
BELORIA,1
COMOFRA,1
IDENOR,1
KAMLOFSKY HNOS,1
HELVERTICA,1
ARGENTINA SA,1
RECORD,1
T O Y O T A,1
CHRVEOLET,1
EAGLE,1
JEEP GLADIATOR V SUP,1
SIZUKI VITARA,1
BAQUEANO  500,1
GOL GL,1
SIAM SI TELLA,1
IKA TORIN 300 S,1
LO GIUDICE-P,1
FIAT DUNA SL 1.6,1
TOYOTA LAND CRU,1
AJAX,1
FERROESTE,1
ROMANO,1
F-H,1
MI KENS,1
BURIASCO,1
GLADIADOR IKA,1
FORD TAUNUS 20 MTS,1
I V E C O,1
RENAULT 12 TL,1
RASRTOJERO DIESEL,1
-RASTROJERO DIESEL,1
NERCEDES-BENZ,1
CHEVROLET MONTECARLO,1
FORD ARGENTINA S.C.A,1
GUERRA                        ,1
MANUALE HNOS,1
IZUDSU,1
FORD GRANADA,1
BAQUIANO IKA,1
AST PRA,1
FERNANDEZ HNOS.,1
GLADIATOR IKA,1
ROSSI HNOS-,1
FORD (041),1
00,1
FORD 4X4,1
DECARLO,1
GOL 1.6,1
DANDUBAY,1
"CHEVROLET ""GUERRERO""",1
SCARPONI HNOS.,1
DODGE TAXI,1
FORD F.350,1
RUSO,1
IKA JEEP                      ,1
WILYS,1
300 D,1
 MALDONADO,1
RENAULT DANPHINE,1
DETROI,1
WHIPPET,1
CHRYSLER/DODGE,1
GIAROLI,1
NICAR,1
ICNEC,1
HUMBER HAWK,1
FORD FIESTA LX,1
BEDFORD                       ,1
FIAT               1,1
POR SER A.F.F. NO POSEE MARCA,1
CHANGO,1
SUZIKI SWIFT GTI,1
KARMANN GHIA,1
RASTROJERO DISE,1
F.H:,1
NAVATUC NT.,1
PONY,1
NAVARRO HNOS.S.R.L.,1
001245RENAULT,1
DELAGE,1
A.F.F.                        ,1
 IES,1
FORD F-600,1
M. CORDANI,1
SUIPACHA,1
PEUGEOT                      G,1
.ISUZU,1
RENAULT DAUPINE,1
SCANIA / MARCOPOLO,1
MERCEDES BENZ/BUSSCAR,1
ESTANCIERA IKA.,1
SUZUKI (127),1
LA SALLE,1
WILLYS HURRICAN,1
MG TC,1
CHRYSLER (025),1
THORNYCROFT,1
RURAL CLASSIC,1
CHEVROLET MONZA,1
LAND ROVER SANT,1
RENAULT FOURGENNETTE,1
OPEL KADETT LS,1
FIAT DUNA SL 1.4,1
FORD F 100,1
IKA RENAULT                   ,1
IKA JEEP GLADIATOR,1
TATA                          ,1
FERRARI                       ,1
SENIORS,1
LEYLAND COMET,1
FORD 1931,1
BUICK RIVIERA,1
BELGRANO METALURGICA BELGRANOS,1
POLARIS                       ,1
-271- GALLOPER,1
ATLANTAR,1
VALMA,1
O.M,1
-115-ROVER,1
DI-TELLA,1
ACOPLAR                       ,1
MARAVILLA,1
BRAMA,1
-089-MAZDA,1
OVERLAND,1
RURAL-ESTANCIER,1
TRAIL MOBILE,1
 CHRYSLER-DODGE,1
OPEL .,1
FIAT-IVECO,1
WILLY,1
FANGIO HNOS.,1
HEI BAO,1
IKA GORDINI,1
AUTOCAR,1
DAEWOO (031),1
PORSCHE                       ,1
RASTROJ. DIESEL,1
TRANSPORTE DE CARGA,1
EPP HERMANOS,1
A.F.F. (RENAULT),1
INGENIERO R.B.A.,1
BOGGIE,1
JEEP LAND ROVER,1
SUZUKI SWIFT NLX,1
WHIPPER,1
TAUNUS GXL,1
ARANDASOL,1
INDUST. MET. RUTA 13,1
SIMCA ARONDE,1
CARBALLIDO,1
  .,1
IKA-BAQUEANO,1
FERNANDEZ HERMANOS SA,1
INDUMIX,1
YAS,1
OPELA.,1
WILLYS IKA,1
VLIANT,1
-----------,1
JEEP - IKA,1
CORMETAAL,1
SANTA BARBARA,1
MILET,1
NSU PRINZ,1
GENERAL MOTORS CORPORATION,1
ALFAROMEO,1
0022/200VOLKSWAGEN,1
NAVARRO HNOS. S.R.L.,1
CHEVROLET BEL AIR,1
CITROEN AMI-8,1
TRIUMPH SPITFIRE,1
MAGNANO,1
FSO                           ,1
ROMAPAR                       ,1
KAISER                        ,1
PRATI -FRUEHAUF,1
PICASSO,1
T.M.,1
CHEVROLET CHEVY 500 DL,1
